tag,n,n_events,auc_price_only,auc_price_plus_imbalance,marginal_auc,imbalance_coef_controlled,imbalance_p_controlled,lr_statistic,lr_p_value,pseudo_r2_price_only,pseudo_r2_both,incremental_pseudo_r2
Development sample (through 2025-06-30),36815,8104,0.9407117839951631,0.9408328225718716,0.00012103857670853202,0.6650629925159243,6.391650794796689e-90,382.64467321882694,0.0,0.5332078407273193,0.5407440379983535,0.007536197271034162
Confirmatory window 1 (2025-H2),54858,10758,0.9273488937527602,0.9273345148155854,-1.4378937174819306e-05,0.4716271248259171,3.0707939533045683e-66,265.6634233799705,0.0,0.48518358722152233,0.48877972179922435,0.003596134577702026
Confirmatory window 2 (2026-Q1),60227,10527,0.9299924939986927,0.9294403639093771,-0.000552130089315539,0.35398073205824626,2.05782759199759e-34,145.97145263398124,0.0,0.4889276612517106,0.49075064981517325,0.0018229885634626353
