window,auc_frozen,frozen_ci_lo,frozen_ci_hi,auc_refit,refit_ci_lo,refit_ci_hi,auc_placebo,n,n_refit_train
Confirmatory 1 (2025-H2),0.6432284466247543,0.6394320184374034,0.6471666446306972,0.6901856281325172,0.6863903359799247,0.6940151040232504,0.5010591995664592,116809,83268
Confirmatory 2 (2026-Q1),0.701524902106262,0.6980802918466041,0.704945267313575,0.7864250124413859,0.7834430364837841,0.789629314639136,0.48805552425884685,156788,200077
