model,auc,ci_lo,ci_hi,p_vs_bench,best_params
Past-CLV benchmark,0.5599545322925523,0.5552900535320358,0.5647327936295238,,
Logistic regression,0.4801498364242498,0.47560192142321195,0.4845384831151974,0.0,{'C': 0.00010507943638161338}
Random forest,0.5507084090020037,0.5460814195431667,0.5552333442227093,0.004268826374032697,"{'n_estimators': 121, 'max_depth': 12, 'min_samples_leaf': 6}"
XGBoost,0.5237050091828368,0.5189465569703241,0.5283561084073305,0.0,"{'n_estimators': 198, 'max_depth': 3, 'learning_rate': 0.01759201053387172, 'subsample': 0.5489324244033761, 'colsample_bytree': 0.9616955700797583}"
LightGBM,0.5405058490521328,0.5357903378723303,0.544788208338901,1.5999863656190882e-09,"{'n_estimators': 137, 'max_depth': 7, 'learning_rate': 0.022631863448175697, 'subsample': 0.7012000322254772, 'colsample_bytree': 0.6412568987644841, 'min_child_samples': 48}"
