window,n,coef,p_naive,p_clustered
Confirmatory 1 (2025-H2),30966,0.15036929933167317,7.395944259483e-165,5.94254797610479e-54
Confirmatory 2 (2026-Q1),36966,0.23004025266246958,8.64673238734109e-302,9.998839889703976e-15
