window,n,rho,p
H2-2023->H1-2024,180,0.02416741257446217,0.7474314708601777
H1-2024->H2-2024,180,0.1468481537496013,0.04916863435345581
H2-2024->H1-2025,180,0.3847238083479943,9.696167601988941e-08
H1-2025->H2-2025 (confirmatory 1),180,0.27425126289906065,0.00019491229522365246
H2-2025->Q1-2026 (confirmatory 2),180,0.4662489583011821,4.215436945095586e-11
