model,spearman_rho,ci_lo,ci_hi,p,n
Benchmark: past CLV,0.026956681969408005,0.020009003625012213,0.03440553681089914,3.108529810107616e-14,79329
LightGBM (train-only),0.0035282567079080755,-0.0034554751103221494,0.010465365594575253,0.3203518005912866,79329
LightGBM (train+val),0.02970963779188719,0.022822353174843747,0.0368013156150547,5.783617977933764e-17,79329
