window,role,n_wallets,mean_n_trades,median_n_trades,mean_volume_usdc,median_volume_usdc,mean_category_hhi,frac_maker_mean,mean_fwd_clv,median_fwd_clv,std_fwd_clv,q75_fwd_clv_threshold
H2-2023,train,261,363.27203065134097,95.0,78129.97066559386,9729.513778999999,0.554297848419644,0.4210424093451672,-0.023628745301054847,-0.009907030509698928,0.11072505883252345,0.018973210238089986
Q4'23-Q1'24,train,418,384.39712918660285,93.5,82703.71706538515,8212.75288,0.4895898230024691,0.36862692343194176,-0.016358584125817217,-0.008884473523863998,0.1330872132182014,0.03397926339409295
H1-2024,train,601,453.55074875207987,90.0,87943.29380890181,8979.26535,0.5152440023173067,0.33955924469252435,1.4833015207282013e-05,0.0017653267302231918,0.13067758876221466,0.03925181518508132
H2-2024,validation,2663,549.7855801727375,69.0,127166.84615342628,7125.529451000001,0.5993728219632364,0.2710817795246573,-0.024532244869079924,-0.01043218736592756,0.10883208403115287,0.013701287894216974
H1-2025,test,79329,408.05032207641597,74.0,41572.55770861071,1850.7433079999992,0.6897773709036888,0.21659063732010422,-0.007226720250457175,-0.00036616596991790457,0.10266931786316576,0.014486115536952648
