model,auc,ci_lo,ci_hi,p_vs_bench
Past-CLV benchmark,0.5599545322925523,0.5552900535320358,0.5647327936295238,
Logistic regression,0.4604643390516556,0.4559615059564986,0.4646858339002237,0.0
Random forest,0.5377175112235847,0.5329775277252754,0.5422649895424132,8.025358155805407e-12
XGBoost,0.5195214507032457,0.5149890075927138,0.5237241290523039,0.0
LightGBM (tuned),0.5258334387190366,0.5211776750184642,0.5301843964868994,0.0
