window,n_full,rho_full,n_cohort,rho_cohort
H2-2023->H1-2024,759,0.0551059004211646,759,0.0551059004211646
H1-2024->H2-2024,7817,0.06952628624169219,557,0.1785867304303311
H2-2024->H1-2025,130935,0.09123455013429564,427,0.21951657855821924
Confirmatory 1 (2025-H2),138321,0.1720043470595839,348,0.24039809942348872
Confirmatory 2 (2026-Q1),174566,0.2967152042364619,312,0.29762797530382257
