hypothesis,pooled_estimate,pooled_se,pooled_ci_lo,pooled_ci_hi,pooled_p,cochran_Q,Q_df,Q_p,I2_pct,k_studies
H1 Persistence (rho),0.053238669438669436,0.001954117511089514,0.04940859911693399,0.057068739760404885,0.0,0.09388440748440739,1,0.759295825503848,0.0,2
H2 Reversal (past_clv_vw coef),0.017832582974386387,0.005674045297577545,0.006711454191134399,0.028953711757638376,0.0016732065015601094,3.2690036581726485,1,0.07060048976559363,69.40963961603538,2
H3 Specialization (specialist coef),0.0013175062414629666,0.0006143305537307625,0.00011341835615067222,0.0025215941267752607,0.031983157316562316,72.17882935139686,1,0.0,98.61455220459231,2
H4 ML AUC,0.49580005928267956,0.0012374339941237018,0.4933746886541971,0.49822542991116203,0.0,28.081902420709177,1,1.162882310445923e-07,96.43898769741988,2
H5 Insider-flow AUC,0.5350824918032787,0.0028029127907449117,0.5295887827334187,0.5405762008731387,0.0,53.970071606557354,1,2.036149027162537e-13,98.14712122805761,2
