window,n,rho,ci_lo,ci_hi,tost_p,tost_equivalent
H2-2023->H1-2024,759,0.0551059004211646,-0.016120022861702214,0.12577538297750135,0.10710578900548295,False
H1-2024->H2-2024,7817,0.06952628624169219,0.04743069145206433,0.09155387364469929,0.003328911563372335,True
H2-2024->H1-2025,130935,0.09123455013429564,0.08586045279499444,0.0966033386140257,0.0006847013064107826,True
H1-2025->H2-2025 (confirmatory 1),138321,0.1720043470595839,0.16688569222939184,0.17711373067813613,1.0,False
H2-2025->Q1-2026 (confirmatory 2),174566,0.2967152042364619,0.29243120332251443,0.3009872959094269,1.0,False
