decile,mean,count
1,-0.008067026211790411,7933
2,-0.001732391575532388,7933
3,-0.0034307143733291086,7933
4,-0.004046975554100119,7933
5,-0.005364788195462268,7933
6,-0.0031857679837885336,7932
7,-0.0024840562984279084,7933
8,-0.00108171479017312,7933
9,0.001063008853691752,7933
10,0.02559101759673794,7933
