window,auc_frozen,auc_refit,auc_placebo,n
Confirmatory 1 (2025-H2),0.6101193519938646,0.7063788580784757,0.5021744760322343,116809
Confirmatory 2 (2026-Q1),0.684720110292371,0.7858079322397,0.5033458282421419,156788
