archetype,n,past_clv,fwd_clv,frac_fwd_positive,p_fwd_eq_0
Insider-like (late+right),14171,0.0015607322263486356,-0.010141942301765978,0.4753369557547103,4.3774382760300955e-28
Skilled (early+right),14546,0.0019638189458951187,-0.009603926635308844,0.4652138044823319,3.456912259821022e-28
Both,7353,0.020492940918910987,-0.012768781199160193,0.46525227798177615,2.2517053325994373e-21
"Lucky (hits, no CLV)",4050,-8.797517720036999e-05,-0.005000791250548285,0.5288888888888889,0.0031187407177143255
Other,39209,-0.010987726037848172,-0.004481783693306221,0.4598944119972455,2.295573598454283e-20
