decile,mean,count
1,-0.008922248264288637,7933
2,-0.007909770787795827,7933
3,-0.009966593083352149,7933
4,-0.007555436705391198,7933
5,-0.006516867815390185,7933
6,-0.004373366786111776,7932
7,-0.008917666511217334,7933
8,-0.006792957892241794,7933
9,-0.006556297467530923,7933
10,-0.004755637509736185,7933
