decile,mean,count
1,-0.009047917654614246,7933
2,-0.005891029647957703,7933
3,-0.007351892421085541,7933
4,-0.007118480865516009,7933
5,-0.008353978526593211,7933
6,-0.009001571206559011,7932
7,-0.006152150953216168,7933
8,-0.005442567574857078,7933
9,-0.007636825666164546,7933
10,-0.00627101171811741,7933
