window,n,spec_coef,spec_p,past_clv_coef,past_clv_p,maker_coef
2023-06-30->2023-12-31,174,0.010318008258551892,0.5545185224138041,-0.14120926435635386,0.26218880621918284,-0.008462932871247119
2023-09-30->2024-03-31,280,-0.0073990350351606695,0.5875969520607658,0.07659499623288349,0.45821726059007106,0.019841023746069174
2023-12-31->2024-06-30,402,-0.008139609980710418,0.5625312381651103,0.018961157731740647,0.79160738648931,-0.011785672943617946
2024-06-30->2024-12-31,1776,0.01933711385790935,0.0003276185004459,-0.07212802976510767,0.010628274908828417,0.0013742537396085755
2024-12-31->2025-06-30,52888,0.006102568631655211,3.5948705439865976e-13,-0.03805109838737998,0.0008413860263650709,0.004904364833458392
