decile,mean,count
1,0.3288973384030418,3682
2,0.4525944036946482,3681
3,0.4712112982074959,3682
4,0.4577560445531106,3681
5,0.4483976099945682,3682
6,0.46101602825319205,3681
7,0.45639771801140994,3681
8,0.4831613253666486,3682
9,0.5221407226297202,3681
10,0.4967409016838675,3682
