config,n,auc,ci_lo,ci_hi,coef,p_clustered
Full sample,36815,0.5411936495357965,0.5323171193292299,0.5500676708697774,0.2201073231222939,2.409926586046173e-11
Excl. D1,33133,0.5184184206286133,0.5098130233911284,0.5268555787854036,0.11875641555347925,0.00016948011924993936
Excl. D1+D10,29451,0.5181850522292024,0.5103969835680138,0.5269207526432043,0.17893648984854502,2.0322689841670173e-06
Rank-transformed,36815,0.5411936495357965,0.5323171193292299,0.5500676708697774,0.4959869412936952,1.0015993603364667e-14
